epoch,train_loss,test_acc,lr,model_name,dataset
7,2.1113792240162335,37.6,0.0007269952498697733,Baseline,CIFAR-100
8,1.9848648940815645,39.04,0.0006545084971874737,Baseline,CIFAR-100
9,1.8595853266508684,44.39,0.0005782172325201155,Baseline,CIFAR-100
10,1.7429447152730448,44.14,0.0005,Baseline,CIFAR-100
11,1.6340067453701477,46.95,0.0004217827674798847,Baseline,CIFAR-100
12,1.5126442924484877,48.48,0.00034549150281252633,Baseline,CIFAR-100
13,1.4141169268151987,49.7,0.00027300475013022663,Baseline,CIFAR-100
14,1.3095475609040321,50.56,0.00020610737385376348,Baseline,CIFAR-100
15,1.2093351304988422,52.39,0.00014644660940672625,Baseline,CIFAR-100
16,1.1181946654453911,52.13,9.549150281252631e-05,Baseline,CIFAR-100
17,1.0400213044317788,52.95,5.4496737905816096e-05,Baseline,CIFAR-100
18,0.9842681544820976,53.55,2.447174185242323e-05,Baseline,CIFAR-100
19,0.9501428008079529,53.83,6.15582970243117e-06,Baseline,CIFAR-100
20,0.9265958651557298,53.54,0.0,Baseline,CIFAR-100
1,3.9688474089288346,16.29,0.0009938441702975688,Mixup(alpha=0.2),CIFAR-100
2,3.501206505329103,20.42,0.0009755282581475768,Mixup(alpha=0.2),CIFAR-100
3,3.25640233154492,22.43,0.0009455032620941839,Mixup(alpha=0.2),CIFAR-100
4,3.007516243878533,25.02,0.0009045084971874737,Mixup(alpha=0.2),CIFAR-100
5,2.871695293489929,31.13,0.0008535533905932737,Mixup(alpha=0.2),CIFAR-100
6,2.782389752395318,36.86,0.0007938926261462366,Mixup(alpha=0.2),CIFAR-100
7,2.6689926727348583,36.55,0.0007269952498697733,Mixup(alpha=0.2),CIFAR-100
8,2.5502820030197766,39.76,0.0006545084971874737,Mixup(alpha=0.2),CIFAR-100
9,2.467453030064283,42.97,0.0005782172325201155,Mixup(alpha=0.2),CIFAR-100
10,2.3753031455647307,43.75,0.0005,Mixup(alpha=0.2),CIFAR-100
11,2.2403765721699163,45.63,0.0004217827674798847,Mixup(alpha=0.2),CIFAR-100
12,2.1984766694285987,44.04,0.00034549150281252633,Mixup(alpha=0.2),CIFAR-100
13,2.19022611279012,48.05,0.00027300475013022663,Mixup(alpha=0.2),CIFAR-100
14,2.0102078832323897,49.32,0.00020610737385376348,Mixup(alpha=0.2),CIFAR-100
15,1.8952078041823015,50.32,0.00014644660940672625,Mixup(alpha=0.2),CIFAR-100
16,1.8065187071290467,51.58,9.549150281252631e-05,Mixup(alpha=0.2),CIFAR-100
17,1.804132096145464,51.28,5.4496737905816096e-05,Mixup(alpha=0.2),CIFAR-100
18,1.8497890855955041,53.19,2.447174185242323e-05,Mixup(alpha=0.2),CIFAR-100
19,1.8352741225601157,53.13,6.15582970243117e-06,Mixup(alpha=0.2),CIFAR-100
20,1.693514076035346,53.34,0.0,Mixup(alpha=0.2),CIFAR-100
1,1.2484600031147037,71.07022126613398,0.0009890738003669028,Baseline,SVHN
2,0.6200466914326733,79.06038721573448,0.0009567727288213003,Baseline,SVHN
3,0.49592812307322004,86.10172095881991,0.0009045084971874737,Baseline,SVHN
4,0.43995103596288704,88.60248924400737,0.0008345653031794292,Baseline,SVHN
5,0.40407595917400474,87.81883835279656,0.00075,Baseline,SVHN
6,0.3701086451297863,88.8060848186847,0.0006545084971874737,Baseline,SVHN
7,0.3438547114219133,90.69606637984019,0.0005522642316338268,Baseline,SVHN
8,0.32074960561739,91.14935464044254,0.0004477357683661734,Baseline,SVHN
9,0.2992023091509704,91.5680700676091,0.0003454915028125264,Baseline,SVHN
10,0.2749644546894711,92.74738783036263,0.0002500000000000001,Baseline,SVHN
11,0.2565712681329479,92.65135218192994,0.00016543469682057103,Baseline,SVHN
12,0.24141582598288855,93.59250153657038,9.549150281252631e-05,Baseline,SVHN
13,0.22771792912150346,93.47341733251383,4.322727117869951e-05,Baseline,SVHN
14,0.21641360736902263,93.48110018438844,1.0926199633097156e-05,Baseline,SVHN
15,0.21387156732315377,93.82298709280884,0.0,Baseline,SVHN
1,1.591107080432133,73.29440688383528,0.0009890738003669028,Mixup(alpha=0.2),SVHN
2,1.0350116654112285,80.17824216349109,0.0009567727288213003,Mixup(alpha=0.2),SVHN
3,0.9434978381501442,85.16441303011678,0.0009045084971874737,Mixup(alpha=0.2),SVHN
4,0.9346679289927657,83.10156730178242,0.0008345653031794292,Mixup(alpha=0.2),SVHN
5,0.804561308593234,88.2221880762139,0.00075,Mixup(alpha=0.2),SVHN
6,0.7864157776193885,89.62046711739397,0.0006545084971874737,Mixup(alpha=0.2),SVHN
7,0.7338421239434737,91.43362015980333,0.0005522642316338268,Mixup(alpha=0.2),SVHN
8,0.7248281255286402,91.48355869698833,0.0004477357683661734,Mixup(alpha=0.2),SVHN
9,0.6862909857827332,91.62185003073141,0.0003454915028125264,Mixup(alpha=0.2),SVHN
10,0.7088621698488948,92.57068223724647,0.0002500000000000001,Mixup(alpha=0.2),SVHN
11,0.6544583027899578,92.96250768285188,0.00016543469682057103,Mixup(alpha=0.2),SVHN
12,0.6476205372971598,93.28902888752305,9.549150281252631e-05,Mixup(alpha=0.2),SVHN
13,0.6172403933100051,93.59250153657038,4.322727117869951e-05,Mixup(alpha=0.2),SVHN
14,0.6050435235597076,93.4081130915796,1.0926199633097156e-05,Mixup(alpha=0.2),SVHN
15,0.6136856800624629,93.7077443146896,0.0,Mixup(alpha=0.2),SVHN
