model,corruption,severity,accuracy
Mixup(alpha=0.2),fog,4,64.73
Mixup(alpha=0.2),fog,5,45.94
Mixup(alpha=0.2),brightness,1,82.27
Mixup(alpha=0.2),brightness,2,81.51
Mixup(alpha=0.2),brightness,3,80.94
Mixup(alpha=0.2),brightness,4,79.93
Mixup(alpha=0.2),brightness,5,75.82
Mixup(alpha=0.2),contrast,1,81.43
Mixup(alpha=0.2),contrast,2,70.67
Mixup(alpha=0.2),contrast,3,59.59
Mixup(alpha=0.2),contrast,4,42.82
Mixup(alpha=0.2),contrast,5,24.74
Mixup(alpha=0.2),elastic_transform,1,76.91
Mixup(alpha=0.2),elastic_transform,2,76.97
Mixup(alpha=0.2),elastic_transform,3,75.11
Mixup(alpha=0.2),elastic_transform,4,73.06
Mixup(alpha=0.2),elastic_transform,5,72.05
Mixup(alpha=0.2),pixelate,1,82.06
Mixup(alpha=0.2),pixelate,2,81.47
Mixup(alpha=0.2),pixelate,3,81.27
Mixup(alpha=0.2),pixelate,4,79.97
Mixup(alpha=0.2),pixelate,5,76.23
Mixup(alpha=0.2),jpeg_compression,1,81.43
Mixup(alpha=0.2),jpeg_compression,2,80.82
Mixup(alpha=0.2),jpeg_compression,3,79.85
Mixup(alpha=0.2),jpeg_compression,4,79.31
Mixup(alpha=0.2),jpeg_compression,5,78.47
Mixup(alpha=0.2),speckle_noise,1,82.15
Mixup(alpha=0.2),speckle_noise,2,79.72
Mixup(alpha=0.2),speckle_noise,3,78.07
Mixup(alpha=0.2),speckle_noise,4,73.54
Mixup(alpha=0.2),speckle_noise,5,68.46
Mixup(alpha=0.2),gaussian_blur,1,82.09
Mixup(alpha=0.2),gaussian_blur,2,76.39
Mixup(alpha=0.2),gaussian_blur,3,70.91
Mixup(alpha=0.2),gaussian_blur,4,64.58
Mixup(alpha=0.2),gaussian_blur,5,51.19
Mixup(alpha=0.2),spatter,1,80.51
Mixup(alpha=0.2),spatter,2,75.95
Mixup(alpha=0.2),spatter,3,70.81
Mixup(alpha=0.2),spatter,4,73.71
Mixup(alpha=0.2),spatter,5,65.75
Mixup(alpha=0.2),saturate,1,78.57
Mixup(alpha=0.2),saturate,2,74.85
Mixup(alpha=0.2),saturate,3,80.57
Mixup(alpha=0.2),saturate,4,75.32
Mixup(alpha=0.2),saturate,5,68.95
CutMix(alpha=1.0),gaussian_noise,1,77.3
CutMix(alpha=1.0),gaussian_noise,2,71.81
CutMix(alpha=1.0),gaussian_noise,3,65.11
CutMix(alpha=1.0),gaussian_noise,4,61.75
CutMix(alpha=1.0),gaussian_noise,5,57.87
CutMix(alpha=1.0),shot_noise,1,78.57
CutMix(alpha=1.0),shot_noise,2,76.93
CutMix(alpha=1.0),shot_noise,3,70.21
CutMix(alpha=1.0),shot_noise,4,66.87
CutMix(alpha=1.0),shot_noise,5,60.98
CutMix(alpha=1.0),impulse_noise,1,74.63
CutMix(alpha=1.0),impulse_noise,2,68.16
CutMix(alpha=1.0),impulse_noise,3,61.32
CutMix(alpha=1.0),impulse_noise,4,49.29
CutMix(alpha=1.0),impulse_noise,5,42.41
CutMix(alpha=1.0),defocus_blur,1,78.79
CutMix(alpha=1.0),defocus_blur,2,75.56
CutMix(alpha=1.0),defocus_blur,3,69.45
CutMix(alpha=1.0),defocus_blur,4,61.79
CutMix(alpha=1.0),defocus_blur,5,46.46
CutMix(alpha=1.0),glass_blur,1,69.18
CutMix(alpha=1.0),glass_blur,2,70.21
CutMix(alpha=1.0),glass_blur,3,71.06
CutMix(alpha=1.0),glass_blur,4,58.88
CutMix(alpha=1.0),glass_blur,5,62.49
CutMix(alpha=1.0),motion_blur,1,71.03
CutMix(alpha=1.0),motion_blur,2,62.77
CutMix(alpha=1.0),motion_blur,3,55.33
CutMix(alpha=1.0),motion_blur,4,55.68
CutMix(alpha=1.0),motion_blur,5,49.65
CutMix(alpha=1.0),zoom_blur,1,68.52
CutMix(alpha=1.0),zoom_blur,2,65.81
CutMix(alpha=1.0),zoom_blur,3,61.5
CutMix(alpha=1.0),zoom_blur,4,57.36
CutMix(alpha=1.0),zoom_blur,5,52.22
CutMix(alpha=1.0),snow,1,76.4
CutMix(alpha=1.0),snow,2,71.6
CutMix(alpha=1.0),snow,3,70.06
CutMix(alpha=1.0),snow,4,67.38
CutMix(alpha=1.0),snow,5,68.32
CutMix(alpha=1.0),frost,1,76.21
CutMix(alpha=1.0),frost,2,72.08
CutMix(alpha=1.0),frost,3,66.52
CutMix(alpha=1.0),frost,4,66.67
CutMix(alpha=1.0),frost,5,60.94
CutMix(alpha=1.0),fog,1,77.83
CutMix(alpha=1.0),fog,2,71.83
CutMix(alpha=1.0),fog,3,65.73
CutMix(alpha=1.0),fog,4,57.63
CutMix(alpha=1.0),fog,5,41.36
CutMix(alpha=1.0),brightness,1,78.59
CutMix(alpha=1.0),brightness,2,77.91
CutMix(alpha=1.0),brightness,3,76.83
CutMix(alpha=1.0),brightness,4,75.37
CutMix(alpha=1.0),brightness,5,71.62
CutMix(alpha=1.0),contrast,1,75.44
CutMix(alpha=1.0),contrast,2,59.68
CutMix(alpha=1.0),contrast,3,49.62
CutMix(alpha=1.0),contrast,4,40.92
CutMix(alpha=1.0),contrast,5,29.13
CutMix(alpha=1.0),elastic_transform,1,71.96
CutMix(alpha=1.0),elastic_transform,2,71.91
CutMix(alpha=1.0),elastic_transform,3,68.52
CutMix(alpha=1.0),elastic_transform,4,67.04
CutMix(alpha=1.0),elastic_transform,5,67.47
CutMix(alpha=1.0),pixelate,1,78.99
CutMix(alpha=1.0),pixelate,2,77.93
CutMix(alpha=1.0),pixelate,3,78.09
CutMix(alpha=1.0),pixelate,4,76.32
CutMix(alpha=1.0),pixelate,5,72.71
CutMix(alpha=1.0),jpeg_compression,1,78.2
CutMix(alpha=1.0),jpeg_compression,2,76.99
CutMix(alpha=1.0),jpeg_compression,3,76.32
CutMix(alpha=1.0),jpeg_compression,4,75.85
CutMix(alpha=1.0),jpeg_compression,5,75.23
CutMix(alpha=1.0),speckle_noise,1,78.56
CutMix(alpha=1.0),speckle_noise,2,74.81
CutMix(alpha=1.0),speckle_noise,3,72.68
CutMix(alpha=1.0),speckle_noise,4,66.49
CutMix(alpha=1.0),speckle_noise,5,60.62
CutMix(alpha=1.0),gaussian_blur,1,78.8
CutMix(alpha=1.0),gaussian_blur,2,69.1
CutMix(alpha=1.0),gaussian_blur,3,61.87
